TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
1000,2024-01-01 00:00:00,0,0,12.50,0,0,0,0
1001,2024-01-01 00:00:00,1,1,125.00,0,0,1,1
1002,2024-01-01 01:00:00,2,2,24.00,3600,0,0,0
1003,2024-01-01 01:00:00,3,3,188.50,3600,0,1,2
1004,2024-01-01 02:00:00,4,4,8.75,7200,0,0,0
1005,2024-01-01 02:00:00,5,5,149.00,7200,0,1,3
1006,2024-01-01 03:00:00,6,0,36.25,10800,0,0,0
1007,2024-01-01 03:00:00,7,1,211.75,10800,0,1,1
1008,2024-01-01 04:00:00,1,2,19.50,14400,0,0,0
1009,2024-01-01 04:00:00,0,3,133.25,14400,0,1,2
1010,2024-01-01 05:00:00,3,4,42.00,18000,0,0,0
1011,2024-01-01 05:00:00,2,5,175.00,18000,0,1,3
1012,2024-01-01 06:00:00,5,0,28.25,21600,0,0,0
1013,2024-01-01 06:00:00,4,1,198.50,21600,0,1,1
1014,2024-01-01 07:00:00,7,2,15.00,25200,0,0,0
1015,2024-01-01 07:00:00,6,3,119.75,25200,0,1,2
1016,2024-01-01 08:00:00,0,4,31.50,28800,0,0,0
1017,2024-01-01 08:00:00,2,5,225.00,28800,0,1,3
1018,2024-01-01 09:00:00,1,0,47.25,32400,0,0,0
1019,2024-01-01 09:00:00,3,1,164.25,32400,0,1,1
1020,2024-01-01 10:00:00,4,2,11.00,36000,0,0,0
1021,2024-01-01 10:00:00,6,3,207.00,36000,0,1,2
1022,2024-01-01 11:00:00,5,4,39.75,39600,0,0,0
1023,2024-01-01 11:00:00,7,5,141.50,39600,0,1,3
1024,2024-01-01 12:00:00,2,0,22.25,43200,0,0,0
1025,2024-01-01 12:00:00,0,1,182.75,43200,0,1,1
1026,2024-01-01 13:00:00,3,2,33.00,46800,0,0,0
1027,2024-01-01 13:00:00,1,3,238.50,46800,0,1,2
1028,2024-01-01 14:00:00,6,4,17.75,50400,0,0,0
1029,2024-01-01 14:00:00,4,5,154.00,50400,0,1,3
1030,2024-01-01 15:00:00,7,0,45.50,54000,0,0,0
1031,2024-01-01 15:00:00,5,1,196.25,54000,0,1,1
1032,2024-01-01 16:00:00,0,2,26.00,57600,0,0,0
1033,2024-01-01 16:00:00,3,3,128.75,57600,0,1,2
1034,2024-01-01 17:00:00,1,4,9.50,61200,0,0,0
1035,2024-01-01 17:00:00,2,5,217.00,61200,0,1,3
1036,2024-01-01 18:00:00,4,0,38.25,64800,0,0,0
1037,2024-01-01 18:00:00,7,1,171.50,64800,0,1,1
1038,2024-01-01 19:00:00,5,2,20.00,68400,0,0,0
1039,2024-01-01 19:00:00,6,3,246.25,68400,0,1,2
1040,2024-01-01 20:00:00,3,4,43.75,72000,0,0,0
1041,2024-01-01 20:00:00,0,5,137.00,72000,0,1,3
1042,2024-01-01 21:00:00,2,0,14.25,75600,0,0,0
1043,2024-01-01 21:00:00,1,1,202.50,75600,0,1,1
1044,2024-01-01 22:00:00,7,2,29.50,79200,0,0,0
1045,2024-01-01 22:00:00,4,3,159.25,79200,0,1,2
1046,2024-01-01 23:00:00,6,4,34.00,82800,0,0,0
1047,2024-01-01 23:00:00,5,5,231.75,82800,0,1,3
